Player,90s,Goals,Shots,PKs,npxG,npG,Born,Age
Alidu Seidu (2000),1.7,0.0,4.0,0.0,0.5,0.0,2000.0,21.0
Alin Toșca (1992),17.7,0.0,5.0,0.0,0.30000000000000004,0.0,1992.0,29.0
Alireza Jahanbakhsh (1993),20.700000000000003,2.0,51.0,0.0,2.8,2.0,1993.0,28.0
Alkhaly Momo Cissé (2002),0.4,0.0,0.0,0.0,0.0,0.0,2002.0,19.0
Allan (1991),113.39999999999999,7.0,85.0,0.0,6.4,7.0,1991.0,30.0
Allan (1997),2.0,0.0,2.0,0.0,0.1,0.0,1997.0,24.0
Allan Nyom (1988),100.10000000000001,3.0,31.0,0.0,1.5999999999999999,3.0,1988.0,33.0
Allan Saint-Maximin (1997),113.4,18.0,228.0,1.0,16.900000000000002,17.0,1997.0,24.0
Allan Tchaptchet (2001),0.1,0.0,0.0,0.0,0.0,0.0,2001.0,20.0
Almamy Touré (1996),51.4,3.0,40.0,0.0,3.9000000000000004,3.0,1996.0,25.0
Alois Confais (1996),6.8,0.0,2.0,0.0,0.1,0.0,1996.0,25.0
Alphonso Davies (2000),59.4,5.0,34.0,0.0,4.0,5.0,2000.0,21.0
Alvaro Sanz (2001),0.3,0.0,0.0,0.0,0.0,0.0,2001.0,20.0
Aly Abeid (1997),0.9,0.0,0.0,0.0,0.0,0.0,1997.0,24.0
Aly Ndom (1996),4.5,0.0,3.0,0.0,0.1,0.0,1996.0,25.0
Amad Diallo (2002),2.3,1.0,3.0,0.0,0.1,1.0,2002.0,19.0
Amadou Diambo (2001),0.0,0.0,0.0,0.0,0.0,0.0,2001.0,20.0
Amadou Diawara (1997),40.699999999999996,3.0,32.0,1.0,1.8000000000000003,2.0,1997.0,24.0
Amadou Haidara (1998),43.5,6.0,82.0,0.0,6.800000000000001,6.0,1998.0,23.0
Amadou Mbengue (2002),3.4,0.0,0.0,0.0,0.0,0.0,2002.0,19.0
Amadou Onana (2001),4.7,0.0,2.0,0.0,0.2,0.0,2001.0,20.0
Amadou Traore (2002),3.6,0.0,3.0,0.0,0.3,0.0,2002.0,19.0
Amath (1996),50.3,4.0,63.0,0.0,7.6000000000000005,4.0,1996.0,25.0
Amato Ciciretti (1993),10.5,2.0,33.0,0.0,1.7,2.0,1993.0,28.0
Ambroise Oyongo (1991),52.5,3.0,24.0,0.0,1.6,3.0,1991.0,30.0
Amer Gojak (1997),5.3,1.0,8.0,0.0,0.8,1.0,1997.0,24.0
Amin Younes (1993),23.0,7.0,53.0,0.0,5.8,7.0,1993.0,28.0
Amine Adli (2000),9.5,2.0,16.0,0.0,1.3,2.0,2000.0,21.0
Amine Bassi (1997),1.2,0.0,2.0,0.0,0.2,0.0,1997.0,24.0
